Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 5:21:48.332 	29.871380	55.291208	7.114756	0.857921	0.826992	29.533829	55.127269	7.894978	0.871853	0.691581	73.704415	76.924368	67.375736	4.665049	60.028214	35.306737
오후 5:21:50.177 	29.562481	54.060240	7.577044	1.312089	0.916760	30.111714	54.055543	8.290472	1.070087	0.695192	76.723277	87.929679	67.517133	4.284307	56.937429	38.778264
오후 5:21:51.580 	28.991572	55.209460	7.876900	1.295511	0.773385	30.231972	54.435481	8.304564	1.026755	0.573972	80.489083	72.172307	62.230866	3.461747	58.043308	38.494945
오후 5:21:52.855 	33.502364	48.249206	8.901085	1.924963	1.001872	34.625754	47.914236	9.592474	1.327147	0.698617	86.779661	26.057938	31.004898	2.909708	58.399853	38.690439
오후 5:21:54.164 	28.593463	50.702710	9.098525	3.494999	1.758819	28.640962	52.055534	9.036387	2.302419	1.358930	86.779661	26.057938	34.221515	2.293638	54.446303	43.260059
오후 5:21:55.821 	30.683835	50.407099	10.204859	2.114481	0.880751	31.026988	49.702764	10.737337	1.486055	0.618746	82.065895	71.577879	87.468605	2.669657	53.342208	43.988135
오후 5:21:57.393 	25.475691	52.010808	10.101987	3.630399	1.689401	26.908726	49.792123	10.774084	2.639331	1.132345	82.937365	86.706432	110.709631	2.736860	53.421589	43.841551aa
오후 5:21:58.956 	26.179218	51.321052	9.875057	3.557579	2.004606	27.530018	49.284357	10.562342	2.645101	1.338787	80.913082	71.705671	104.830243	3.460680	52.347044	44.192276
오후 5:22:00.523 	24.104924	52.025453	9.632507	3.729569	2.212806	26.817217	49.367218	10.653726	2.763244	1.609073	80.927292	56.768444	72.476466	4.327735	51.944578	43.727687
오후 5:22:02.143 	29.007224	48.448274	9.043359	3.478680	2.506327	26.442449	50.444831	10.311302	2.662013	1.990911	79.833680	67.466264	45.428529	6.890477	55.310922	37.798600
오후 5:22:03.979 	31.516563	52.372616	6.222016	2.364220	1.959434	31.892449	53.687395	6.197707	1.652266	1.827153	83.297180	129.926126	166.118994	5.240333	53.722654	41.037013
오후 5:22:06.623 	34.490494	49.414622	6.291827	1.654661	1.416074	34.685395	50.151309	6.838550	1.117962	1.328531	91.866029	146.195027	166.291132	4.223026	52.454840	43.322135
오후 5:22:08.686 	34.480769	49.673399	6.287180	1.482490	1.397907	34.432539	50.481880	6.712128	1.031420	1.319358	97.585769	123.760949	165.601506	3.977215	52.239753	43.783031
오후 5:22:10.422 	35.514584	47.490630	8.312627	1.372605	1.103993	33.075450	50.248669	8.261533	0.934997	0.983714	101.834254	54.822193	34.982208	4.056206	52.927814	43.015980
오후 5:22:12.251 	34.454821	48.721248	8.048639	1.127869	1.052628	33.924355	49.555946	8.422383	0.855220	0.938251	97.730647	37.174422	25.073135	3.785785	51.947727	44.266488
오후 5:22:14.128 	27.333119	53.030879	10.197767	2.224095	1.636815	26.198359	54.541727	10.315686	1.604178	1.414991	88.871745	72.551868	53.388592	3.258510	50.400427	46.341062
오후 5:22:16.066 	16.135399	62.274816	11.979423	1.950070	1.370570	15.727485	64.161525	12.271435	1.405187	1.047473	92.809668	123.470872	175.128998	4.634940	49.984487	45.380573
오후 5:22:18.188 	15.923545	62.335464	11.725875	1.957976	1.472866	16.586943	63.615986	12.183846	1.407670	1.060849	92.196879	138.095744	227.176230	4.377532	47.356884	48.265585
오후 5:22:20.140 	10.116593	69.377631	11.869935	2.975149	2.746392	8.255540	72.868991	11.704366	2.276226	2.182813	89.824561	126.166433	202.183817	3.441539	47.856016	48.702444
오후 5:22:21.908 	12.527692	66.074282	11.979728	3.294965	3.339171	9.086824	71.402154	11.569862	2.531529	2.723951	91.866029	131.409176	122.969346	3.665636	46.728721	49.605643
오후 5:22:23.761 	20.510165	54.367732	13.567379	4.856288	2.063127	9.249589	70.294140	11.466424	2.768601	3.497442	82.669537	55.477002	44.021202	2.489853	49.122268	48.387880
오후 5:22:25.795 	8.761963	54.805581	17.932336	6.482654	2.341582	8.092532	55.096910	16.014047	6.690627	3.246560	84.488449	94.293671	100.865245	3.817352	44.982848	51.199800
